source_image,cluster,count
csb_20.jpg,0,8
csb_14.jpg,0,7
csb_1.jpg,0,4
csb_21.jpg,0,4
csb_9.jpg,0,4
csb_3.jpg,0,1
csb_18.jpg,1,8
csb_2.jpg,1,8
csb_19.jpg,1,7
csb_12.jpg,1,6
csb_16.jpg,1,6
csb_13.jpg,1,1
csb_15.jpg,1,1
csb_24.jpg,2,8
csb_8.jpg,2,8
csb_11.jpg,2,7
csb_22.jpg,2,4
csb_23.jpg,2,2
csb_6.jpg,2,2
csb_16.jpg,2,1
csb_17.jpg,3,6
csb_5.jpg,3,6
csb_6.jpg,3,6
csb_1.jpg,3,4
csb_23.jpg,3,4
csb_10.jpg,3,3
csb_15.jpg,3,2
csb_11.jpg,3,1
csb_22.jpg,3,1
csb_21.jpg,4,4
csb_9.jpg,4,4
csb_15.jpg,4,3
csb_22.jpg,4,3
csb_12.jpg,4,2
csb_17.jpg,4,2
csb_23.jpg,4,2
csb_5.jpg,4,2
csb_7.jpg,4,2
csb_10.jpg,4,1
csb_16.jpg,4,1
csb_19.jpg,4,1
csb_4.jpg,5,8
csb_13.jpg,5,7
csb_3.jpg,5,7
csb_7.jpg,5,6
csb_10.jpg,5,4
csb_15.jpg,5,2
csb_14.jpg,5,1
